lucode,LULC_desc,C_above,C_below,C_soil,C_dead
1,AgriculturalVegetation,5,0,0,0
2,CoastalLagoon,0,0,0,0
3,BareArea,1,0,0,0
4,ArtificialSurface,0,0,0,0
5,AgriculturalVegetation,5,0,0,0
6,BeachDuneAndSand,1,0,0,0
7,PeatBog,50,0,0,0
8,BroadleafForest,164,0,0,0
9,BroadleafForest,164,0,0,0
10,BroadleafForest,164,0,0,0
11,BroadleafForest,164,0,0,0
12,BroadleafForest,164,0,0,0
13,BroadleafForest,164,0,0,0
14,BroadleafForest,164,0,0,0
15,InlandForestedWetland,191,0,0,0
16,BroadleafForest,164,0,0,0
17,BroadleafForest,164,0,0,0
18,BroadleafForest,164,0,0,0
19,BroadleafForest,164,0,0,0
20,BroadleafForest,164,0,0,0
21,BroadleafForest,164,0,0,0
22,PalmForest,164,0,0,0
23,BroadleafForest,164,0,0,0
24,BroadleafForest,164,0,0,0
25,BroadleafForest,164,0,0,0
26,BroadleafForest,164,0,0,0
27,BroadleafForest,164,0,0,0
28,BroadleafForest,164,0,0,0
29,BroadleafForest,164,0,0,0
30,BroadleafForest,164,0,0,0
31,InlandForestedWetland,191,0,0,0
32,PalmSwamp,164,0,0,0
33,PalmSwamp,164,0,0,0
34,ClosedEvergreenBroadleafForest,164,0,0,0
35,BroadleafForest,164,0,0,0
36,BroadleafForest,164,0,0,0
37,ConiferousForest,193,0,0,0
38,DeciduousBroadleafForest,164,0,0,0
39,DeciduousBroadleafForest,164,0,0,0
40,SparseTreeCover,2.5,0,0,0
41,DeciduousBroadleafForest,164,0,0,0
42,BroadleafForest,164,0,0,0
43,BroadleafForest,164,0,0,0
44,OpenSavanna,46,0,0,0
45,DeciduousBroadleafForest,164,0,0,0
46,EvergreenBroadleafForest,164,0,0,0
47,OpenDeciduousBroadleafForest,164,0,0,0
48,Watercourse,0,0,0,0
49,SparseShrubCover,2.5,0,0,0
50,MineralExtraction,0,0,0,0
51,SparseVegetation,2.5,0,0,0
52,Estuary,0,0,0,0
53,Estuary,0,0,0,0
54,GlacierAndPerpetualSnow,0,0,0,0
55,InlandMarsh,50,0,0,0
56,MaritimeWetland,50,0,0,0
57,ArtificialSurface,0,0,0,0
58,MoorAndHeathland,50,0,0,0
59,StillWaterBody,0,0,0,0
60,Shrubland,50,0,0,0
61,Mangrove,191,0,0,0
62,Shrubland,50,0,0,0
63,Shrubland,50,0,0,0
64,SclerophyllousVegetation,50,0,0,0
65,BambooForest,51,0,0,0
66,Grassland,4.5,0,0,0
67,ForestPlantation,51,0,0,0
68,MoorAndHeathland,50,0,0,0
69,ArtificialSurface,0,0,0,0
70,Watercourse,0,0,0,0
71,Grassland,4.5,0,0,0
72,OpenSavanna,46,0,0,0
73,SparseShrubCover,2.5,0,0,0
74,InlandWetland,50,0,0,0
75,SclerophyllousVegetation,50,0,0,0
